28163;PARACETAMOL;120 mg/5 mL;Jarabe;SOLUCION;Envase x 60 mL;1;14/09/2020 12:00:00 a.m.;NG2481;PORTUGAL;ACT
28167;PREDNISONA;50 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;29/05/2021 12:00:00 a.m.;NG4954;NATURGEN;ACT
28168;PRESSALIV;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;03/12/2018 12:00:00 a.m.;N25294;NATURGEN;ACT
28175;SALBUTAMOL;2 mg/5 mL;Jarabe;SOLUCION;Frasco X 120 mL;1;18/05/2016 12:00:00 a.m.;NG2807;PORTUGAL;ACT
28177;SULFAMETOXAZOL + TRIMETOPRIMA + GUAIFENESINA;200 mg + 40 mg + 50 mg/5 mL;Suspensión Oral;SUSPENSION;Caja Frasco x 60mL;1;30/10/2011 12:00:00 a.m.;NG2988;PORTUGAL;ACT
28178;TENSSALIV;150 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;31/08/2014 12:00:00 a.m.;N26121;NATURGEN;ACT
28179;TENSSALIV;300 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;02/09/2019 12:00:00 a.m.;N26133;NATURGEN;ACT
28180;TERAZOSINA;5 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;23/06/2014 12:00:00 a.m.;NG6139;NATURGEN;ACT
28181;TERBINAFINA;1%;Crema;CREMA;Caja Tubo X 20 g;1;06/11/2018 12:00:00 a.m.;NG5932;PORTUGAL;ACT
28183;ULCEALIV;40 mg;Cápsula de Liberación Retardada;CAPSULA;Caja Envase Blister Cápsulas;30;19/05/2020 12:00:00 a.m.;N26860;NATURGEN;ACT
28184;WELLPORT;;Jarabe;SOLUCION;Caja Frasco X 345 mL;1;29/09/2014 12:00:00 a.m.;N26300;PORTUGAL;ACT
28190;APROXX BRAND;550 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;24/11/2018 12:00:00 a.m.;N25249;BRAND AND MARKETING;ACT
28191;CETIRPLUS;10 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;25/11/2018 12:00:00 a.m.;N25255;BRAND AND MARKETING;ACT
28192;AZIBRAND;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;3;29/10/2018 12:00:00 a.m.;N25164;BRAND AND MARKETING;ACT
28193;DERMOBRAND;;Crema;CREMA;Caja Tubo X 20 g;1;02/03/2014 12:00:00 a.m.;N25606;BRAND AND MARKETING;ACT
28194;FLUCOBRAND;150 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;2;16/10/2018 12:00:00 a.m.;N25124;BRAND AND MARKETING;ACT
28195;DOLOMARKET FORTE;50 mg + 500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;200;16/10/2013 12:00:00 a.m.;N25115;BRAND AND MARKETING;ACT
28197;SULFA MAXX FORTE;800 mg + 160 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;19/11/2018 12:00:00 a.m.;N25242;BRAND AND MARKETING;ACT
28198;CEPHAX;500 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;05/12/2013 12:00:00 a.m.;E21314;JPS DISTRIBUCIONES;ACT
28200;AMIK;500 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;100;14/09/2014 12:00:00 a.m.;E21935;JPS DISTRIBUCIONES;ACT
28201;CLORPH ALLERGY;10 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;100;10/12/2018 12:00:00 a.m.;E21324;JPS DISTRIBUCIONES;ACT
28202;MEXADEX;4 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;20;23/12/2018 12:00:00 a.m.;E21351;JPS DISTRIBUCIONES;ACT
28209;ALBENDAZOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 20 mL;1;10/12/2016 12:00:00 a.m.;NG3028;PORTUGAL;ACT
28211;AMBROXOL;30 mg/5 mL;Jarabe;SOLUCION;Frasco x 120 mL;1;29/12/2019 12:00:00 a.m.;NG4556;PORTUGAL;ACT
28215;CIPROFLAC;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;10/08/2014 12:00:00 a.m.;N25970;MEDISUR;ACT
28216;DOLOFLASH FORTE;500 mg + 50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;200;26/01/2019 12:00:00 a.m.;N25513;MEDISUR;ACT
28217;CLINDAMICINA;600 mg/4 mL;Solución Inyectable;INYECTABLE;Caja Ampolla X 4 mL;1;07/02/2017 12:00:00 a.m.;NG3161;MEDIFARMA;ACT
28218;CLOBETASOL;0.05%;Crema;CREMA;Caja Tubo X 20 g;1;13/10/2018 12:00:00 a.m.;NG1803;AC FARMA;ACT
28219;CODEINA FOSFATO;15 mg/5 mL;Jarabe;SOLUCION;Caja Frasco X 60 mL;1;14/06/2020 12:00:00 a.m.;NG2414;ROXFARMA;ACT
28225;SYSTANE;5 mg + 3 mg/mL;Solución Oftálmica;SOLUCION OFTALMICA;Caja Frasco Gotero X 15 mL;1;14/10/2013 12:00:00 a.m.;E15914;ALCON;ACT
28226;TEARS NATURALE II;;Solución Oftálmica;SOLUCION OFTALMICA;Caja Frasco Gotero X 15 mL;1;06/12/2011 12:00:00 a.m.;E18984;ALCON;ACT
28231;ACIDO URSODEOXICOLICO;250 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;50;16/11/2012 12:00:00 a.m.;NG5434;INDUQUIMICA;ACT
28232;AVALLERT;5 mg/5 mL;Jarabe;SOLUCION;Frasco X 60 mL;1;03/02/2019 12:00:00 a.m.;N25530;INDUQUIMICA;ACT
28233;DEXAMETASONA;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;18/11/2018 12:00:00 a.m.;NG5943;INDUQUIMICA;ACT
28234;DEXAMETASONA;1 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;12/11/2018 12:00:00 a.m.;NG5939;INDUQUIMICA;ACT
28235;DIMENHIDRINATO;50 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;27/08/2019 12:00:00 a.m.;NG6185;INDUQUIMICA;ACT
28236;DOLO INDUFLAM FORTE;;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;15/12/2013 12:00:00 a.m.;N25341;INDUQUIMICA;ACT
28237;ENALAPRIL MALEATO;20 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;18/08/2019 12:00:00 a.m.;NG4434;INDUQUIMICA;ACT
28238;GASLESS MAX, SABOR A CANELA;80 mg;Tableta Masticable;TABLETA;Caja Envase Blister Tabletas;30;05/08/2019 12:00:00 a.m.;N25949;INDUQUIMICA;ACT
28240;IBUPROFENO;800 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;03/08/2019 12:00:00 a.m.;NG2100;INDUQUIMICA;ACT
28241;LACTULOSA;3.3 g/5 mL;Solución Oral;SOLUCION;Frasco X 100 mL;1;19/07/2020 12:00:00 a.m.;NG4704;INDUQUIMICA;ACT
28242;NAPROXENO;550 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;05/05/2019 12:00:00 a.m.;NG1996;INDUQUIMICA;ACT
28243;ZATRIN ANTIGRIPAL;;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;23/07/2014 12:00:00 a.m.;N25930;INDUQUIMICA;ACT
28245;ZATRIN ANTIGRIPAL;;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;23/07/2014 12:00:00 a.m.;N25930;INDUQUIMICA;ACT
28246;ZATRIN REXAL;250 mg + 300 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;02/06/2019 12:00:00 a.m.;N25763;INDUQUIMICA;ACT
28248;AERO OM SABOR ANIS;100 mg/mL;Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;29/05/2021 12:00:00 a.m.;N22562;OM PHARMA;ACT
28252;BRONCHO VAXOM NIÑOS;;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;30;01/04/2018 12:00:00 a.m.;BE00894;OM PHARMA;ACT
28253;BRONCHO VAXOM NIÑOS;;Polvo Oral;POLVO;Sobre X 240 mg;30;20/03/2019 12:00:00 a.m.;BE00592;OM PHARMA;ACT
28254;TUSSIS OM EXPECTORANTE;;Jarabe;SOLUCION;Caja Frasco x 100 mL;1;01/08/2011 12:00:00 a.m.;N22734;OM PHARMA;ACT
28255;RINOFLUIMUCIL;10 mg/mL;Solución Nasal;AEROSOL;Caja Frasco x 10 mL;1;26/06/2014 12:00:00 a.m.;E21782;LUKOLL;ACT
28256;FLUIMUCIL;10%;Solución para Inhalación;AEROSOL;Caja Vial X 25 mL;1;16/07/2014 12:00:00 a.m.;E21806;LUKOLL;ACT
28259;AMIKACINA;500 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;1;05/11/2018 12:00:00 a.m.;EG5947;LABOT;ACT
28261;AMITRIPTILINA;25 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;20/10/2020 12:00:00 a.m.;NG1340;IQ FARMA;ACT
28262;ATENOLOL;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;07/10/2019 12:00:00 a.m.;NG2140;IQ FARMA;ACT
28265;CARBAMAZEPINA;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;1;14/11/2018 12:00:00 a.m.;EG5963;LABOT;ACT
28269;CLORFENAMINA MALEATO;4 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;10/12/2020 12:00:00 a.m.;NG0028;IQ FARMA;ACT
28270;DEXAMETASONA;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;17/08/2021 12:00:00 a.m.;NG2925;IQ FARMA;ACT
28272;DICLOFENACO;75 mg/3 mL;Solución Inyectable;INYECTABLE;Vial X 3 mL;1;10/11/2018 12:00:00 a.m.;EG5956;LABOT;ACT
28273;DICLOXACILINA;500 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;10;19/11/2018 12:00:00 a.m.;NG1848;IQ FARMA;ACT
28279;FENOBARBITAL;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;36;13/12/2017 12:00:00 a.m.;NG1555;LUSA;ACT
28283;GEMFIBROZILO;600 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;2;16/10/2013 12:00:00 a.m.;NG4036;FARMINDUSTRIA;ACT
28284;GLIBENCLAMIDA;5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;06/11/2021 12:00:00 a.m.;NG3025;TEVA;ACT
28285;HALOPERIDOL;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;1;02/07/2013 12:00:00 a.m.;NG5742;MEDIFARMA;ACT
28286;MODUL;10 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;20/11/2018 12:00:00 a.m.;N19076;AC FARMA;ACT
28287;LAMOTRIGINA;50 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;28/03/2020 12:00:00 a.m.;NG2358;AC FARMA;ACT
28289;CARBONATO DE LITIO;300 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;31/01/2020 12:00:00 a.m.;NG2284;IQ FARMA;ACT
28293;METOCLOPRAMIDA;10 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;2;10/09/2013 12:00:00 a.m.;NG1772;IQ FARMA;ACT
28296;PARACETAMOL;500 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;27/07/2021 12:00:00 a.m.;NG2895;QUIMICA SUIZA;ACT
28298;PROPEXOL;10 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;25/09/2020 12:00:00 a.m.;N19758;AC FARMA;ACT
28299;PREDNISONA;5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;04/07/2019 12:00:00 a.m.;NG1051;TEVA;ACT
28302;RANITIDINA;300 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;10/05/2020 12:00:00 a.m.;NG1245;MEDIFARMA;ACT
28303;CIMICILE;50 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;2;23/07/2017 12:00:00 a.m.;N23676;AC FARMA;ACT
28304;SULPINEX;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;22/08/2020 12:00:00 a.m.;N19744;AC FARMA;ACT
28306;TRIFLUOPERAZINA;5 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;20;21/11/2020 12:00:00 a.m.;NG1383;IQ FARMA;ACT
28307;VALPRAX;500 mg;Tableta Recubierta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;10;09/11/2018 12:00:00 a.m.;N19068;AC FARMA;ACT
28308;AMOXICILINA + BROMHEXINA;500 mg + 8 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;05/12/2013 12:00:00 a.m.;NG5957;NATURGEN;ACT
28309;DICLOXACILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL + Accesorio;1;10/03/2021 12:00:00 a.m.;NG4874;NATURGEN;ACT
28310;DICLOXACILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Caja Frasco X 60 mL + Accesorio;1;10/03/2021 12:00:00 a.m.;NG4874;NATURGEN;ACT
28311;IRBESARTAN;150 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;16/10/2018 12:00:00 a.m.;NG5904;NATURGEN;ACT
28312;IRBESARTAN;300 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;17/10/2013 12:00:00 a.m.;NG5907;NATURGEN;ACT
28315;PREDNISONA;50 mg;Tableta;TABLETA;Caja Frasco Tabletas;100;29/05/2021 12:00:00 a.m.;NG4954;NATURGEN;ACT
28316;SUBSALICILATO DE BISMUTO;87.33 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 240 mL;1;05/03/2017 12:00:00 a.m.;NG5245;PORTUGAL;ACT
28319;LAMIDIZOL;1%;Crema;CREMA;Tubo X 20 g;1;02/10/2017 12:00:00 a.m.;N23897;PORTUGAL;ACT
28322;NOVALGINA;500 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;17/07/2019 12:00:00 a.m.;E21807;SANOFI;ACT
28324;MEVAFAST;400 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;7;21/08/2014 12:00:00 a.m.;N26064;IQ FARMA;ACT
28325;ANGIOLAM;5%;Solución Inyectable;INYECTABLE;Caja vial X 2 mL;5;22/08/2020 12:00:00 a.m.;N21918;AC FARMA;ACT
28330;ZOMETA;4 mg/5 mL;Concentrado para Solución para Perfusión;INYECTABLE;Caja Vial X 5 mL;1;31/12/2013 12:00:00 a.m.;E16116;NOVARTIS;ACT
28340;COPAXONE;20 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;28;28/06/2011 12:00:00 a.m.;E18539;TEVA;ACT
28344;SYFEN;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;24/01/2017 12:00:00 a.m.;E19106;TORRES PHARMA;ACT
28345;ANAFRANIL;25 mg;Grageas;TABLETA;Caja Grageas;20;23/10/2013 12:00:00 a.m.;E21154;NOVARTIS;ACT
28346;CERTICAN;0.75 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;60;10/09/2024 12:00:00 a.m.;E16741;NOVARTIS;ACT
28350;EXCEDRIN MIGRAÑA;250 mg + 250 mg + 65 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;100;16/10/2014 12:00:00 a.m.;E21987;NOVARTIS;ACT
28355;EXJADE;250 mg;Comprimido Dispersable;TABLETA;Caja Envase Blíster Comprimidos;28;08/03/2021 12:00:00 a.m.;E18209;NOVARTIS;ACT
28356;EXJADE;500 mg;Comprimido Dispersable;TABLETA;Caja Envase Blíster Comprimidos;28;08/03/2021 12:00:00 a.m.;E18207;NOVARTIS;ACT
28360;LUCENTIS;10 mg/mL;Solución Inyectable;INYECTABLE;Caja Vial x 0.23 mL + 2 Accesorios;1;19/12/2016 12:00:00 a.m.;BE00378;NOVARTIS;ACT
28364;SANDIMMUN NEORAL;100 mg/mL;Solución Oral;SOLUCION;Caja Frasco x 50 mL;1;19/04/2021 12:00:00 a.m.;E13798;NOVARTIS;ACT
28368;SANDIMMUN;50 mg/mL;Concentrado para Solución para Perfusión;INYECTABLE;Caja Ampolla x 1 mL;10;31/12/2013 12:00:00 a.m.;E11438;NOVARTIS;ACT
28370;SIMULECT;20 mg;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;1;13/02/2019 12:00:00 a.m.;BE00585;NOVARTIS;ACT
28375;ACICLOVIR;800 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;24/05/2019 12:00:00 a.m.;NG2011;IQ FARMA;ACT
28377;BIPERIDENO;2 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;08/11/2013 12:00:00 a.m.;NG1827;IQ FARMA;ACT
28379;GABAPENTINA;300 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;100;04/05/2021 12:00:00 a.m.;NG4928;IQ FARMA;ACT
28380;GASTRORAL;800 mg + 40 mg;Tableta Masticable;TABLETA;Caja Envase Blister Tabletas;120;09/05/2013 12:00:00 a.m.;N24607;IQ FARMA;ACT
28381;LETIZIA;5 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;25/03/2019 12:00:00 a.m.;N25649;IQ FARMA;ACT
28382;LETIZIA;2.5 mg/5 mL;Jarabe;SOLUCION;Caja Frasco X 60 mL;1;06/01/2019 12:00:00 a.m.;N25409;IQ FARMA;ACT
28383;LEVONELLE;750 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;5;29/04/2020 12:00:00 a.m.;N26845;IQ FARMA;ACT
28386;CLARITROMICINA;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;60;13/03/2017 12:00:00 a.m.;NG1564;TEVA;ACT
28388;SILVERDIAZINA;1%;Crema;CREMA;Tubo X 25 g;1;01/03/2020 12:00:00 a.m.;N19576;TEVA;ACT
28389;SILVERDIAZINA L;;Crema;CREMA;Tubo X 25 g;1;25/09/2012 12:00:00 a.m.;N20321;TEVA;ACT
28397;CIPRAXX 500;500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;28/10/2013 12:00:00 a.m.;N25161;DRONNVELS;ACT
28399;DOLOFLEXIMAX EXTRA FORTE;50 mg + 500 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;150;31/10/2012 12:00:00 a.m.;N24002;DRONNVELS;ACT
28402;MUKOFLHEM ADULTO;30 mg/5 mL;Jarabe;SOLUCION;Frasco x 120 mL;1;06/05/2014 12:00:00 a.m.;N25716;DRONNVELS;ACT
28404;SILDENAZINN 100;100 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;40;24/10/2013 12:00:00 a.m.;N25146;DRONNVELS;ACT
28406;ABUBRON AB;250 mg + 15 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco x 60 mL;1;05/06/2013 12:00:00 a.m.;N24703;MAQUIFARMA;ACT
28408;MAFLUX FORTE;800 mg + 160 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;120;20/10/2014 12:00:00 a.m.;N26381;GABBLAN;ACT
28409;MAFLUX BALSAMICO;800 mg + 160 mg + 200 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;120;17/04/2014 12:00:00 a.m.;N25684;GABBLAN;ACT
28410;VALMETAF;100 mg/mL;Suspensión Oral;SUSPENSION;Frasco Gotero X 20 mL;1;04/09/2019 12:00:00 a.m.;N26159;GABBLAN;ACT
28411;LYON´S;100 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;1;02/06/2020 12:00:00 a.m.;N26877;GABBLAN;ACT
28412;ANIRAX;200 mg + 350 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;120;13/08/2014 12:00:00 a.m.;N26001;GABBLAN;ACT
28413;ANIRAX;200 mg + 500 mg;Suspensión Oral;SUSPENSION;Frasco X 100 mL;1;20/07/2014 12:00:00 a.m.;N25903;GABBLAN;ACT
28414;D'LIRA;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;1;23/01/2017 12:00:00 a.m.;N23192;QUALIPHARM;ACT
28415;D'LIRA;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;2;23/01/2017 12:00:00 a.m.;N23192;QUALIPHARM;ACT
28416;D'LIRA;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;4;23/01/2017 12:00:00 a.m.;N23192;QUALIPHARM;ACT
28417;D'LIRA;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;23/01/2017 12:00:00 a.m.;N23192;QUALIPHARM;ACT
28418;D'LIRA;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;1;08/01/2017 12:00:00 a.m.;N23143;QUALIPHARM;ACT
28419;D'LIRA;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;2;08/01/2017 12:00:00 a.m.;N23143;QUALIPHARM;ACT
28420;D'LIRA;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;4;08/01/2017 12:00:00 a.m.;N23143;QUALIPHARM;ACT
28421;D'LIRA;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;08/01/2017 12:00:00 a.m.;N23143;QUALIPHARM;ACT
28425;BRONCO EXPECT;250 mg + 15 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;07/06/2020 12:00:00 a.m.;N26883;FARM. MEDICAL;ACT
28426;PLUSZOL;150 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;10;23/04/2014 12:00:00 a.m.;N25694;FARM. MEDICAL;ACT
28427;PLIDAMEDIC COMPUESTO;125 mg + 10 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;08/04/2013 12:00:00 a.m.;N24515;FARM. MEDICAL;ACT
28434;BRONCOTRIBACT;800 mg + 160 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;23/10/2017 12:00:00 a.m.;E19901;BIOTECH;ACT
28440;VFAX MR;150 mg;Cápsula de Liberación Prolongada;CAPSULA;Caja Envase Blister Cápsulas;10;21/01/2013 12:00:00 a.m.;E20205;RANBAXY;ACT
28441;VFAX MR;75 mg;Cápsula de Liberación Prolongada;CAPSULA;Caja Envase Blister Cápsulas;10;25/01/2013 12:00:00 a.m.;E20234;RANBAXY;ACT
28448;FLOBACT D;0.3 % + 0.1 %;Suspensión Oftálmica;SUSPENSION OFTALMICA;Caja Frasco Gotero X 5 mL;1;10/11/2018 12:00:00 a.m.;E21216;ESPECIALIDADES OFTALMOLOGICAS;ACT
28449;DORTIM;;Solución Oftálmica;SOLUCION OFTALMICA;Caja Frasco Gotero X 6 mL;1;10/11/2018 12:00:00 a.m.;E21217;ESPECIALIDADES OFTALMOLOGICAS;ACT
28450;EDEMSOFT;2.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;19/05/2014 12:00:00 a.m.;E21699;EMCURE;ACT
28451;EDEMSOFT;2.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;19/05/2014 12:00:00 a.m.;E21699;EMCURE;ACT
28454;METPURE XL 25;25 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;30;22/05/2014 12:00:00 a.m.;E21716;EMCURE;ACT
28455;METPURE XL 50;50 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;30;22/05/2014 12:00:00 a.m.;E21717;EMCURE;ACT
28458;FOSEAL 800;800 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;15/03/2020 12:00:00 a.m.;E22203;EMCURE;ACT
28465;HELIXOR M;100 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;8;14/08/2012 12:00:00 a.m.;E19675;QUALITY PHARMA;ACT
28466;HELIXOR M;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;13/08/2012 12:00:00 a.m.;E19668;QUALITY PHARMA;ACT
28468;HELIXOR M;20 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;14/08/2012 12:00:00 a.m.;E19672;QUALITY PHARMA;ACT
28470;HELIXOR M;5 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;13/08/2012 12:00:00 a.m.;E19658;QUALITY PHARMA;ACT
28471;HELIXOR M;1 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;10/08/2012 12:00:00 a.m.;E19635;QUALITY PHARMA;ACT
28472;HELIXOR A;100 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;8;15/08/2012 12:00:00 a.m.;E19683;QUALITY PHARMA;ACT
28473;HELIXOR A;50 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;10/08/2012 12:00:00 a.m.;E19647;QUALITY PHARMA;ACT
28476;HELIXOR A;5 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;13/08/2012 12:00:00 a.m.;E19652;QUALITY PHARMA;ACT
28477;HELIXOR A;1 mg/mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 1 mL;8;17/07/2012 12:00:00 a.m.;E19568;QUALITY PHARMA;ACT
28478;CIMAVAX EGF;0.9 mg/0.9 mL;Emulsión Inyectable;INYECTABLE;Caja Vial + Accesorios;8;21/08/2013 12:00:00 a.m.;BE00524;QUALITY PHARMA;ACT
28479;CIMAHER;50 mg/10 mL;Solución Inyectable;INYECTABLE;Caja Vial X 10 mL;4;09/07/2017 12:00:00 a.m.;BE00410;QUALITY PHARMA;ACT
28480;IOR LEUKOCIM;0.30 mg/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;1;19/09/2018 12:00:00 a.m.;BE00539;QUALITY PHARMA;ACT
28481;IOR LEUKOCIM;0.30 mg/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;10;19/09/2018 12:00:00 a.m.;BE00539;QUALITY PHARMA;ACT
28482;IOR EPOCIM 2000;2 000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;1;15/09/2013 12:00:00 a.m.;BE00537;QUALITY PHARMA;ACT
28483;IOR EPOCIM 2000;2 000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;10;15/09/2013 12:00:00 a.m.;BE00537;QUALITY PHARMA;ACT
28484;IOR EPOCIM 4000;4 000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;1;22/09/2013 12:00:00 a.m.;BE00540;QUALITY PHARMA;ACT
28485;IOR EPOCIM 4000;4 000 UI/mL;Solución Inyectable;INYECTABLE;Caja Vial X 1 mL;10;22/09/2013 12:00:00 a.m.;BE00540;QUALITY PHARMA;ACT
28496;MEROPENEM;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;10;12/05/2021 12:00:00 a.m.;EG6375;UNIMED;ACT
28498;CISPLATINO;10 mg;Polvo para Solución Inyectable;INYECTABLE;Caja vial;1;18/06/2020 12:00:00 a.m.;EG6313;PERULAB;ACT
28499;CISPLATINO;50 mg;Polvo para Solución Inyectable;INYECTABLE;Caja vial;1;18/06/2020 12:00:00 a.m.;EG6312;PERULAB;ACT
28500;CISPLATINO;10 mg/10 mL;Solución Inyectable;INYECTABLE;Caja vial;1;23/06/2020 12:00:00 a.m.;EG6315;PERULAB;ACT
